Full Name,Age,City,Are you currently a student ?,What is your highest/current education level ?,Are you currently employed ?,"If Yes, what is your monthly income ?",Do you use UPI ?,"If yes, how many UPI transactions do you make in a week?",What is your average monthly spending ?,Do you pay rent ?,"If yes, how much you pay monthly ?",How do you pay your rent ?,"Do you pay bills (electricity, mobile, internet) on time?",How much do you spend on mobile recharges monthly?,How many subscriptions do you pay for?,List your paid subscriptions,How often are you unable to pay subscriptions on time?,What phone type do you use?,Phone brand and model ?,How many hours/day do you use your phone?,Do you actively save a portion of your income?,"If yes, how much do you save per month","If you save money, where do you keep your savings ?",Do you use savings tracking applications ?,Which financial apps do you use regularly?,"Do you have any active EMIs or loans (student loan, mobile EMI, etc.)?","If yes, total EMI amount paid per month?","Have you ever used Buy Now Pay Later (BNPL) services (ZestMoney, LazyPay, Simpl)?",Do you have a financial goal you're saving for?,"If yes, what is the goal?",How soon do you aim to achieve this goal (months)?,Do you have an emergency fund that can cover 3+ months of expenses?,"If faced with an emergency, how would you manage funds?",Do you invest in crypto ?,Do you invest in any of the following ?,Do you participate in charity donations or volunteering?,How long have you been living at your current address (months) ?,How long have you been at your current job/college (months)?
Rohan Aggarwal,24,Bhopal,Yes,PostGraduate,Yes,30000,No,0,28500,No,0,,Always,399,0,,Never,Budget,Samsung M21,7,Yes,4000,Cash,Yes,,No,0,Yes,Yes,Travel,14.0,No,Friends,No,"PPF, Mutual Funds, Fixed Deposits",Yes,56,34
Udant Ram,21,Amritsar,Yes,UnderGraduate,No,0,Yes,10,6000,Yes,9000,Bank Transfer,Always,499,1,Others,Sometimes,Mid-Range,Moto G30,7,No,0,,Yes,"GPay, CoinSwitch, Paytm",No,0,No,Yes,Travel,15.0,Yes,Savings,No,"Mutual Funds, Fixed Deposits, Other",No,55,17
Veer Buch,24,Udaipur,Yes,PostGraduate,Yes,41000,Yes,17,29000,No,0,,Sometimes,299,2,"Streaming, Educational",Sometimes,Budget,Redmi Note 14 Pro,5,Yes,13000,Bank,No,Fi,No,0,No,Yes,Vehicles,16.0,No,Credit Card,No,Other,No,44,42
Arya Viswanathan,21,Pune,Yes,UnderGraduate,Yes,26000,Yes,27,26500,Yes,14500,UPI,Sometimes,249,0,,Never,Budget,Poco F5,3,No,0,,Yes,,No,0,No,Yes,Travel,18.0,Yes,Savings,No,"Mutual Funds, Stocks, PPF",No,27,31
Baljiwan Wable,23,Gwalior,Yes,PostGraduate,Yes,19000,Yes,35,14000,Yes,9500,UPI,Always,299,0,,Never,Mid-Range,Realme 11 Pro,9,Yes,6000,Bank,Yes,"Fi, Jar, Groww, PhonePe",No,0,Yes,No,,,Yes,Savings,No,Other,No,31,36
Tara Dixit,21,Visakhapatnam,Yes,UnderGraduate,No,0,No,0,6500,No,0,,Always,249,1,Social Media,Always,Budget,Moto G82,8,No,0,,Yes,"PhonePe, Jar",Yes,6000,No,Yes,Gadget,5.0,Yes,Savings,No,"Mutual Funds, PPF",No,22,22
Chavvi Naik,25,Salem,Yes,PostGraduate,No,0,Yes,25,3500,Yes,7500,UPI,Always,399,1,Social Media,Sometimes,Mid-Range,Realme Narzo 60 Pro,6,No,0,,Yes,Paytm,No,0,No,Yes,Travel,8.0,No,Credit Card,No,"Other, Mutual Funds",No,55,23
Matthew Lanka,18,Indore,Yes,UnderGraduate,Yes,77000,Yes,25,49000,Yes,5500,Cash,Never,299,2,"Music, Others",Sometimes,Flag-Ship,Redmi Note 10,10,Yes,26000,Bank,Yes,"GPay, Upstox, Others",No,0,Yes,No,,,No,Credit Card,No,,Yes,40,23
Bhavani Savant,25,Dehradun,Yes,PostGraduate,Yes,29000,Yes,28,21500,Yes,9500,Bank Transfer,Always,299,2,"Social Media, Educational",Sometimes,Budget,Poco F4,8,Yes,9000,Bank,Yes,"Upstox, Others, CoinSwitch",No,0,No,No,,,No,Savings,Yes,,Yes,49,46
Wishi Sahni,23,Tiruchirappalli,Yes,UnderGraduate,No,0,Yes,29,6000,Yes,6500,Bank Transfer,Always,299,1,Music,Always,Flag-Ship,Moto Edge 20,4,No,0,,No,"Jar, Others",No,0,No,Yes,Gadget,24.0,Yes,Savings,Yes,"PPF, Fixed Deposits",No,60,35
Wazir Kurian,24,Madurai,Yes,UnderGraduate,No,0,Yes,35,3000,No,0,,Sometimes,299,1,Social Media,Sometimes,Mid-Range,Moto Edge 20,9,Yes,2500,Cash,No,"Paytm, Jar",No,0,No,No,,,Yes,Savings,No,Other,Yes,13,15
Quincy Mohanty,24,Ranchi,Yes,PostGraduate,Yes,17000,Yes,21,16500,Yes,12500,UPI,Never,399,1,Music,Sometimes,Mid-Range,Redmi Note 10 Pro,3,Yes,1500,Bank,Yes,"GPay, CoinSwitch",No,0,Yes,No,,,Yes,Savings,No,Other,Yes,8,28
Avni Deol,19,Jodhpur,Yes,UnderGraduate,No,0,Yes,18,7500,No,0,,Always,299,1,Social Media,Never,Mid-Range,Poco M6 Pro,8,No,0,,No,Upstox,No,0,Yes,No,,,Yes,Savings,No,Mutual Funds,No,31,21
Harish Patil,24,Faridabad,Yes,UnderGraduate,Yes,37000,Yes,17,31500,No,0,,Always,499,0,,Never,Mid-Range,Realme Narzo N55,4,Yes,5000,Wallet Apps,No,Groww,No,0,No,Yes,Emergency Fund,6.0,No,BNPL,No,"Mutual Funds, Fixed Deposits",No,23,8
Imaran Murthy,18,Tiruchirappalli,Yes,UnderGraduate,No,0,Yes,20,6000,Yes,8000,UPI,Always,499,0,,Never,Mid-Range,Samsung A52,5,No,0,,Yes,"GPay, Upstox",No,0,No,No,,,Yes,Savings,Yes,Other,No,32,29
Parth Tiwari,18,Nagpur,Yes,UnderGraduate,No,0,No,0,3500,Yes,7500,UPI,Never,399,3,"Social Media, Others, Music",Sometimes,Budget,Samsung M51,9,No,0,,Yes,Others,No,0,No,Yes,Emergency Fund,14.0,No,BNPL,No,,No,11,31
Azaan Apte,24,Patna,Yes,PostGraduate,Yes,35000,Yes,26,35000,Yes,9500,Bank Transfer,Always,299,1,Music,Never,Budget,Moto G82,5,No,0,,No,"Others, CoinSwitch",No,0,No,Yes,Other,11.0,Yes,Savings,No,PPF,Yes,34,12
Rohan Bali,19,Bhopal,Yes,UnderGraduate,Yes,32000,Yes,12,23000,No,0,,Sometimes,299,0,,Never,Mid-Range,Moto G82,5,Yes,9000,Bank,Yes,"Groww, Fi, GPay",No,0,No,Yes,Gadget,21.0,Yes,Savings,Yes,Other,No,57,28
Zehaan Sethi,22,Nashik,Yes,PostGraduate,Yes,30000,Yes,24,26500,No,0,,Sometimes,399,0,,Never,Mid-Range,Poco F4,9,Yes,6000,Investment Products,Yes,"Jar, Paytm",Yes,8500,No,No,,,Yes,Savings,No,"Mutual Funds, PPF, Stocks",No,53,29
Bina Mangal,24,Nagpur,Yes,PostGraduate,Yes,38000,Yes,30,29500,Yes,5000,UPI,Always,499,0,,Never,Mid-Range,Samsung M53,6,Yes,7500,Bank,No,"PhonePe, Paytm, CoinSwitch",Yes,4000,No,No,,,Yes,Savings,No,,No,7,13
Xalak Gokhale,23,Nashik,Yes,UnderGraduate,Yes,28000,Yes,29,25000,Yes,13500,UPI,Sometimes,499,1,Others,Never,Budget,Redmi Note 10,3,Yes,4000,Wallet Apps,No,Others,Yes,7000,No,No,,,No,Friends,Yes,"Mutual Funds, Stocks",No,39,14
Girish Hari,19,Ghaziabad,Yes,UnderGraduate,No,0,Yes,12,3500,Yes,14000,UPI,Always,299,2,"Music, Others",Sometimes,Mid-Range,Poco X4 GT,3,No,0,,Yes,,Yes,6000,No,No,,,Yes,Savings,No,,Yes,33,20
Garima Saha,21,Bhubaneswar,Yes,UnderGraduate,No,0,Yes,17,8500,Yes,10500,Bank Transfer,Always,299,0,,Never,Budget,Moto G30,8,Yes,2000,Cash,No,Jar,No,0,No,Yes,Travel,15.0,Yes,Savings,No,"PPF, Mutual Funds, Fixed Deposits",Yes,37,11
Anmol Deshmukh,24,Tiruchirappalli,Yes,UnderGraduate,No,0,Yes,32,6000,No,0,,Sometimes,299,0,,Never,Mid-Range,Poco X5 Pro,3,No,0,,No,Upstox,No,0,No,Yes,Other,22.0,Yes,Savings,No,"Stocks, Fixed Deposits",No,28,14
Aditya Pillai,24,Shimla,Yes,PostGraduate,Yes,16000,Yes,33,13500,No,0,,Always,399,0,,Never,Mid-Range,Samsung M12,8,Yes,3000,Cash,Yes,,No,0,No,No,,,Yes,Savings,No,,No,37,31
Barkha Wable,23,Varanasi,Yes,UnderGraduate,No,0,Yes,18,6000,No,0,,Always,399,1,Music,Sometimes,Flag-Ship,Poco X3 Pro,4,No,0,,No,"GPay, CoinSwitch",No,0,No,Yes,Travel,6.0,No,Credit Card,No,Mutual Funds,Yes,19,28
Warda Ravel,22,Mangalore,Yes,UnderGraduate,Yes,37000,No,0,26000,No,0,,Always,399,2,"Music, Others",Never,Mid-Range,Realme Narzo 70,9,Yes,11000,Bank,Yes,Paytm,No,0,No,Yes,Travel,15.0,No,Credit Card,No,,No,24,46
Chandresh Parmer,21,Ahmedabad,Yes,UnderGraduate,Yes,51000,Yes,17,46500,Yes,8500,UPI,Always,399,0,,Never,Mid-Range,Redmi 9,8,Yes,6500,Investment Products,No,"GPay, Others, Fi",No,0,No,No,,,No,Friends,No,,No,29,48
Pratyush Bhandari,19,Coimbatore,Yes,UnderGraduate,Yes,30000,Yes,30,21500,Yes,9000,Bank Transfer,Always,249,0,,Never,Budget,Realme Narzo 70,5,Yes,9500,Bank,No,Groww,No,0,No,No,,,No,Credit Card,No,,Yes,22,4
Qabil Doshi,22,Varanasi,Yes,PostGraduate,Yes,20000,Yes,33,19000,Yes,7500,UPI,Always,499,2,"Educational, Music",Never,Mid-Range,Redmi Note 14 Pro,4,Yes,2500,Bank,Yes,Fi,Yes,3500,No,Yes,Gadget,5.0,No,Friends,No,"Mutual Funds, Fixed Deposits",No,31,11
Yagnesh Pillai,18,Mangalore,Yes,UnderGraduate,No,0,Yes,26,3000,No,0,,Always,399,1,Educational,Sometimes,Budget,Samsung M51,7,No,0,,No,"Jar, CoinSwitch",Yes,7500,No,No,,,No,Credit Card,No,"Stocks, Fixed Deposits",No,21,4
Amruta Manne,22,Mumbai,Yes,PostGraduate,No,0,Yes,31,4500,No,0,,Sometimes,299,0,,Never,Mid-Range,Samsung M14 5G,4,No,0,,Yes,GPay,No,0,No,Yes,Gadget,16.0,No,BNPL,Yes,,No,30,38
Yutika Mangal,21,Udaipur,Yes,UnderGraduate,No,0,Yes,35,8500,Yes,10000,Bank Transfer,Always,299,2,"Educational, Social Media",Sometimes,Mid-Range,Redmi 9,5,No,0,,No,Paytm,No,0,No,No,,,No,Credit Card,No,,No,31,46
Radha Natt,18,Surat,Yes,UnderGraduate,Yes,15000,No,0,10000,Yes,13000,Bank Transfer,Sometimes,299,1,Others,Never,Budget,Moto G100,9,Yes,4000,Bank,Yes,,No,0,No,Yes,Gadget,18.0,No,Credit Card,Yes,Other,No,44,26
Utkarsh Tripathi,25,Bhubaneswar,Yes,PostGraduate,Yes,60000,Yes,18,39000,No,0,,Sometimes,399,1,Streaming,Sometimes,Flag-Ship,Samsung M33 5G,10,Yes,18000,Bank,Yes,"PhonePe, Groww",No,0,No,Yes,Emergency Fund,22.0,No,Savings,No,"Other, Mutual Funds, PPF",Yes,28,46
Zehaan Chakraborty,20,Ranchi,Yes,UnderGraduate,Yes,15000,No,0,10000,Yes,11500,Bank Transfer,Sometimes,299,0,,Never,Budget,Samsung M32,10,Yes,4000,Bank,Yes,,Yes,3500,No,Yes,Travel,16.0,Yes,Savings,No,"Fixed Deposits, PPF",Yes,6,40
Lajita Rana,24,Agra,Yes,PostGraduate,No,0,Yes,31,4500,No,0,,Always,299,1,Streaming,Never,Mid-Range,Poco X3 Pro,10,No,0,,Yes,"Fi, PhonePe",No,0,No,Yes,Travel,6.0,No,Friends,No,Mutual Funds,No,7,18
Nimrat Devi,25,Ahmedabad,Yes,PostGraduate,Yes,32000,Yes,11,34000,Yes,12000,Bank Transfer,Always,299,1,Music,Never,Budget,Poco X4 GT,4,No,0,,No,"Groww, PhonePe",No,0,No,Yes,Travel,24.0,Yes,Savings,No,"Fixed Deposits, Stocks, PPF",Yes,37,37
Devansh Munshi,19,Bengaluru,Yes,UnderGraduate,Yes,25000,Yes,14,18500,Yes,12000,Bank Transfer,Always,399,0,,Never,Mid-Range,Realme 11 Pro,5,Yes,8000,Bank,Yes,"Fi, GPay",No,0,No,Yes,Gadget,12.0,No,Other,No,,No,17,40
Abha Bhatnagar,23,Nagpur,Yes,UnderGraduate,Yes,41000,Yes,17,28500,Yes,12500,UPI,Sometimes,299,2,"Music, Streaming",Always,Mid-Range,Poco X3 Pro,8,Yes,13000,Cash,No,,Yes,6000,No,No,,,Yes,Savings,No,,No,7,26
Agastya Bhalla,18,Rajkot,Yes,UnderGraduate,No,0,Yes,22,5000,No,0,,Always,199,0,,Never,Mid-Range,Poco F1,5,No,0,,Yes,GPay,Yes,8000,No,Yes,Emergency Fund,4.0,Yes,Savings,No,Other,No,40,5
Darika Khalsa,24,Dehradun,Yes,PostGraduate,Yes,37000,No,0,31500,No,0,,Always,299,0,,Never,Flag-Ship,Redmi Note 10 Pro,9,Yes,7000,Wallet Apps,Yes,"GPay, PhonePe, Fi",No,0,No,No,,,Yes,Savings,No,Fixed Deposits,Yes,7,48
Brijesh Batra,24,Godda,Yes,UnderGraduate,Yes,21000,Yes,15,16500,Yes,8500,Bank Transfer,Sometimes,249,0,,Never,Flag-Ship,Realme Narzo N55,10,Yes,5000,Wallet Apps,Yes,"Upstox, Others",No,0,Yes,No,,,No,BNPL,Yes,Fixed Deposits,No,59,6
Vasudha Kari,24,Indore,Yes,UnderGraduate,No,0,Yes,21,7000,Yes,14500,Cash,Always,399,1,Educational,Never,Flag-Ship,Samsung M14 5G,7,Yes,3000,Bank,Yes,"CoinSwitch, PhonePe",No,0,No,Yes,Gadget,17.0,Yes,Savings,Yes,"Mutual Funds, Fixed Deposits, PPF",Yes,44,42
Michael Mody,21,Delhi,Yes,UnderGraduate,Yes,19000,Yes,31,16000,Yes,10000,UPI,Always,399,0,,Never,Budget,Samsung A73,10,Yes,2000,Cash,Yes,Paytm,No,0,No,No,,,No,Friends,No,"Fixed Deposits, Stocks, Mutual Funds",No,32,28
Ranveer Chhabra,20,Guwahati,Yes,UnderGraduate,Yes,26000,Yes,26,22500,Yes,10500,UPI,Sometimes,499,2,"Music, Streaming",Sometimes,Flag-Ship,Redmi Note 12 Pro,9,Yes,5000,Bank,No,Others,No,0,No,No,,,Yes,Savings,Yes,,No,7,21
Damyanti Solanki,18,Madurai,Yes,UnderGraduate,Yes,14000,Yes,17,9500,Yes,6500,Bank Transfer,Always,299,1,Social Media,Never,Mid-Range,Samsung M14 5G,9,Yes,5000,Bank,No,"GPay, Jar, Upstox, PhonePe",No,0,Yes,Yes,Emergency Fund,8.0,No,Credit Card,No,Other,Yes,16,45
Netra Subramanian,24,Kanpur,Yes,PostGraduate,Yes,33000,Yes,17,24000,No,0,,Sometimes,499,1,Music,Sometimes,Budget,Samsung M51,8,Yes,8000,Bank,Yes,"Others, Upstox, Paytm, Groww",Yes,8000,No,Yes,Travel,22.0,No,Savings,Yes,,Yes,30,16
Yatin Manne,23,Agra,Yes,UnderGraduate,No,0,Yes,26,4500,Yes,11500,UPI,Sometimes,399,0,,Never,Budget,Redmi Note 10,4,No,0,,No,"Jar, Upstox",No,0,No,Yes,Emergency Fund,14.0,No,BNPL,No,,Yes,55,42
Onkar Kumar,19,Patna,Yes,UnderGraduate,Yes,20000,Yes,33,18000,No,0,,Always,249,0,,Never,Budget,Poco M6 Pro,6,Yes,3000,Bank,Yes,"CoinSwitch, Others",No,0,No,No,,,No,Friends,Yes,Stocks,Yes,34,45
Viraj Menon,19,Hyderabad,Yes,UnderGraduate,No,0,Yes,34,7500,No,0,,Sometimes,499,0,,Never,Mid-Range,Poco X5 Pro,7,Yes,2500,Investment Products,No,PhonePe,No,0,No,Yes,Travel,16.0,Yes,Savings,No,"PPF, Fixed Deposits, Mutual Funds",No,58,27
Jagat Saini,19,Hyderabad,Yes,UnderGraduate,Yes,26000,Yes,22,17500,Yes,19000,UPI,Always,299,2,"Educational, Social Media",Sometimes,Mid-Range,Redmi Note 11,7,Yes,8500,Bank,Yes,"Fi, Others",No,0,No,No,,,Yes,Savings,No,"Fixed Deposits, Stocks, Mutual Funds",No,10,23
Akshay Thaman,23,Varanasi,Yes,UnderGraduate,Yes,64000,Yes,19,46000,No,0,,Always,399,1,Others,Sometimes,Budget,Realme Narzo 30,10,Yes,15500,Bank,Yes,"Groww, Others",No,0,No,Yes,Other,17.0,No,Friends,No,,No,51,28
Andrew Sur,21,Bengaluru,Yes,UnderGraduate,No,0,Yes,25,5500,No,0,,Sometimes,399,1,Social Media,Sometimes,Mid-Range,Moto G40 Fusion,8,No,0,,Yes,"Jar, Upstox, CoinSwitch",No,0,No,No,,,No,Savings,No,,Yes,50,21
Ikshita Dutt,24,Mysuru,Yes,PostGraduate,Yes,18000,Yes,16,15500,Yes,6000,UPI,Always,399,1,Social Media,Never,Mid-Range,Realme Narzo N55,6,Yes,2500,Cash,Yes,"Upstox, Others, PhonePe, Jar",No,0,No,Yes,Gadget,12.0,No,Friends,No,PPF,No,17,29
Ayaan Dora,25,Srikakulam,Yes,PostGraduate,No,0,Yes,18,3500,Yes,8500,UPI,Always,599,1,Educational,Always,Mid-Range,Samsung M14 5G,5,No,0,,No,"PhonePe, Fi, Others, Paytm",No,0,No,No,,,No,BNPL,Yes,,No,30,17
Nitara Sandhu,22,Mumbai,Yes,UnderGraduate,Yes,12000,Yes,32,11000,Yes,9000,UPI,Always,299,2,"Social Media, Others",Sometimes,Flag-Ship,Samsung M14 5G,10,Yes,1000,Bank,Yes,Others,Yes,7000,No,No,,,Yes,Savings,Yes,"Fixed Deposits, PPF, Stocks",No,34,12
Kritika Balasubramanian,25,Madurai,Yes,PostGraduate,No,0,Yes,33,7500,Yes,11500,UPI,Never,399,0,,Never,Mid-Range,Poco X5 Pro,10,No,0,,Yes,"Groww, Paytm, Fi",No,0,No,Yes,Travel,11.0,No,Other,No,Mutual Funds,No,6,48
Gaurangi Handa,20,Bhubaneswar,Yes,UnderGraduate,No,0,Yes,12,7000,No,0,,Always,299,1,Educational,Never,Budget,Poco F4,3,No,0,,Yes,"Upstox, Jar",No,0,No,No,,,No,Friends,No,,No,58,16
Ijaya Dugar,24,Nashik,Yes,UnderGraduate,Yes,43000,Yes,30,44000,No,0,,Always,299,0,,Never,Mid-Range,Poco M6 Pro,10,No,0,,No,"Groww, Paytm",No,0,No,Yes,Vehicles,10.0,No,Friends,No,,Yes,54,3
Maya Das,24,Nashik,Yes,PostGraduate,Yes,25000,Yes,13,24000,Yes,12000,Others,Always,299,1,Educational,Sometimes,Mid-Range,Realme GT 2 Pro,10,No,0,,Yes,,No,0,No,No,,,Yes,Savings,No,"Fixed Deposits, Mutual Funds, PPF",No,57,40
Dipta Mital,19,Rajkot,Yes,UnderGraduate,No,0,No,0,7000,No,0,,Always,299,1,Music,Never,Mid-Range,Samsung M21,8,No,0,,Yes,,Yes,2000,No,No,,,Yes,Savings,No,"Mutual Funds, PPF",Yes,10,25
Lakshit Goda,25,Hyderabad,Yes,PostGraduate,No,0,Yes,17,7000,Yes,15000,Cash,Always,399,0,,Never,Mid-Range,Poco M6 Pro,6,No,0,,No,"GPay, Paytm, Fi",No,0,No,Yes,Vehicles,4.0,Yes,Savings,No,Stocks,No,51,11
Aadi Ramachandran,20,Faridabad,Yes,UnderGraduate,Yes,36000,No,0,34500,Yes,5000,UPI,Always,299,0,,Never,Budget,Samsung M32,6,No,0,,No,"Groww, Paytm",No,0,Yes,Yes,Emergency Fund,13.0,No,Friends,No,Stocks,Yes,48,39
Karan Toor,21,Thiruvananthapuram,Yes,UnderGraduate,No,0,Yes,27,5500,Yes,9000,UPI,Always,299,3,"Social Media, Others, Streaming",Never,Budget,Samsung M33 5G,5,No,0,,No,"Others, PhonePe",No,0,No,No,,,Yes,Savings,No,"Fixed Deposits, Other",Yes,41,36
Vrinda Taneja,25,Indore,Yes,PostGraduate,Yes,49000,Yes,34,45000,Yes,12000,Bank Transfer,Sometimes,299,3,"Others, Social Media, Streaming",Sometimes,Mid-Range,Samsung A13,8,Yes,6000,Investment Products,Yes,Paytm,No,0,Yes,Yes,Travel,3.0,Yes,Savings,No,PPF,No,58,12
Barkha Mahajan,20,Jaipur,Yes,UnderGraduate,Yes,18000,Yes,26,16500,Yes,9000,UPI,Sometimes,499,0,,Never,Mid-Range,Samsung M53,8,Yes,3000,Bank,No,"Others, Groww, GPay",No,0,No,No,,,Yes,Savings,No,"PPF, Fixed Deposits",Yes,38,24
Anmol Bir,18,Vijayawada,Yes,UnderGraduate,Yes,23000,No,0,16500,Yes,7500,UPI,Sometimes,299,2,"Streaming, Social Media",Sometimes,Budget,Samsung M12,3,Yes,6000,Bank,Yes,Jar,Yes,1000,Yes,No,,,No,Friends,Yes,,No,56,39
Omaja Gandhi,25,Bhubaneswar,Yes,PostGraduate,No,0,Yes,26,2000,Yes,14000,UPI,Never,499,1,Music,Sometimes,Mid-Range,Samsung M12,3,No,0,,No,CoinSwitch,No,0,No,Yes,Vehicles,21.0,No,Savings,No,"PPF, Mutual Funds",Yes,50,12
Chavvi Dyal,23,Amritsar,Yes,UnderGraduate,Yes,19000,Yes,34,18000,Yes,4500,UPI,Always,299,3,"Educational, Music, Streaming",Never,Mid-Range,Moto G30,7,No,0,,Yes,"Jar, Upstox, Paytm, Groww",No,0,No,No,,,Yes,Savings,No,Stocks,No,52,46
Viraj Chauhan,23,Hyderabad,Yes,UnderGraduate,Yes,17000,Yes,13,12000,No,0,,Always,199,1,Social Media,Sometimes,Mid-Range,Samsung M53,8,Yes,4000,Bank,No,"Jar, Upstox",No,0,Yes,Yes,Other,20.0,Yes,Savings,No,,No,6,38
Jairaj Murthy,25,Godda,Yes,PostGraduate,Yes,25000,Yes,29,20500,Yes,9000,Bank Transfer,Sometimes,399,2,"Social Media, Streaming",Sometimes,Budget,Samsung M32,6,Yes,5000,Wallet Apps,Yes,"Fi, CoinSwitch, Groww",No,0,No,No,,,No,Credit Card,No,,No,18,41
Aarav Bawa,22,Ghaziabad,Yes,PostGraduate,No,0,Yes,35,3500,Yes,4500,UPI,Always,399,0,,Never,Mid-Range,Samsung A23,5,No,0,,No,"Others, Fi",Yes,2000,No,No,,,Yes,Savings,No,Stocks,Yes,38,29
Sai Singh,18,Delhi,Yes,UnderGraduate,Yes,24000,Yes,11,20000,Yes,17000,UPI,Always,599,1,Others,Never,Budget,Realme Narzo 70,9,Yes,4000,Cash,Yes,Groww,No,0,No,No,,,No,BNPL,No,"Mutual Funds, Other",Yes,57,34
Lekha Varughese,20,Ghaziabad,Yes,UnderGraduate,No,0,Yes,13,7000,No,0,,Always,299,1,Music,Sometimes,Budget,Moto Edge 40,6,No,0,,No,"Groww, CoinSwitch",No,0,No,Yes,Gadget,22.0,Yes,Savings,No,,Yes,36,28
Sachi Gole,23,Dehradun,Yes,UnderGraduate,Yes,44000,Yes,11,38000,No,0,,Sometimes,599,0,,Never,Flag-Ship,Redmi 9,8,Yes,5500,Bank,No,"CoinSwitch, Fi",No,0,Yes,Yes,Travel,19.0,Yes,Savings,Yes,Mutual Funds,No,19,46
Anvi Ganguly,23,Salem,Yes,UnderGraduate,No,0,Yes,18,6000,No,0,,Sometimes,399,0,,Never,Budget,Samsung A13,4,No,0,,Yes,"Paytm, Groww",Yes,7000,No,Yes,Travel,21.0,No,Other,No,"PPF, Fixed Deposits, Other",No,48,34
Baghyawati Tak,23,Lucknow,Yes,UnderGraduate,No,0,Yes,23,2500,Yes,7500,Bank Transfer,Always,299,0,,Never,Budget,Realme 11 Pro,4,No,0,,Yes,"GPay, Jar",No,0,No,Yes,Gadget,18.0,No,BNPL,No,,No,29,21
Manbir Dhar,23,Gwalior,Yes,UnderGraduate,Yes,40000,Yes,12,32500,Yes,4000,Bank Transfer,Always,399,1,Streaming,Sometimes,Budget,Samsung M32,8,Yes,7000,Bank,Yes,"Others, PhonePe, Paytm, GPay",Yes,4000,No,No,,,No,Friends,Yes,"Fixed Deposits, PPF",Yes,52,39
Devansh Dhar,22,Jaipur,Yes,UnderGraduate,Yes,31000,Yes,26,23000,No,0,,Always,299,3,"Music, Others, Streaming",Never,Mid-Range,Redmi Note 12 Pro,10,Yes,7000,Wallet Apps,No,"Paytm, Fi, CoinSwitch, Jar",No,0,No,Yes,Gadget,18.0,Yes,Savings,Yes,Fixed Deposits,Yes,42,21
Sanaya Bora,24,Coimbatore,Yes,PostGraduate,Yes,20000,Yes,34,19500,Yes,12500,UPI,Always,299,0,,Never,Mid-Range,Redmi Note 11,4,No,0,,No,,Yes,5000,No,Yes,Gadget,3.0,Yes,Savings,Yes,"Fixed Deposits, PPF",No,27,30
Harsh Dhaliwal,24,Shimla,Yes,UnderGraduate,Yes,42000,Yes,14,32000,Yes,8500,Bank Transfer,Always,599,2,"Social Media, Streaming",Never,Mid-Range,Poco X6 Neo,6,Yes,8500,Bank,Yes,CoinSwitch,No,0,No,No,,,Yes,Savings,No,"PPF, Other",Yes,55,31
Dayamai Bedi,19,Thiruvananthapuram,Yes,UnderGraduate,Yes,45000,Yes,31,41000,No,0,,Always,249,0,,Never,Mid-Range,Realme GT 2 Pro,4,Yes,5500,Bank,No,"Others, Jar",No,0,Yes,Yes,Gadget,4.0,Yes,Savings,No,"Mutual Funds, PPF",No,50,46
Meghana Dyal,18,Salem,Yes,UnderGraduate,Yes,19000,No,0,11500,Yes,8500,Cash,Always,599,2,"Streaming, Music",Never,Mid-Range,Samsung A13,7,Yes,6500,Bank,Yes,"CoinSwitch, Jar, Upstox",No,0,No,No,,,Yes,Savings,Yes,"PPF, Fixed Deposits, Other",No,10,36
Gauri Randhawa,22,Agra,Yes,PostGraduate,Yes,39000,Yes,24,28000,Yes,12000,UPI,Always,199,0,,Never,Budget,Poco M3 Pro,6,Yes,9500,Bank,Yes,,No,0,No,Yes,Gadget,3.0,No,Friends,No,Other,Yes,38,32
Omya Prabhu,22,Agra,Yes,UnderGraduate,Yes,79000,Yes,32,70500,Yes,6500,UPI,Always,299,2,"Others, Music",Never,Mid-Range,Realme 11 Pro,3,Yes,12500,Bank,No,GPay,No,0,No,No,,,Yes,Savings,No,,No,18,41
Avi Raval,20,Agra,Yes,UnderGraduate,Yes,38000,Yes,24,25500,No,0,,Sometimes,399,1,Streaming,Sometimes,Flag-Ship,Moto G60,9,Yes,12500,Wallet Apps,No,"PhonePe, Others",No,0,No,Yes,Gadget,22.0,Yes,Savings,No,"Mutual Funds, Stocks",No,26,24
Megha Prabhakar,21,Faridabad,Yes,UnderGraduate,Yes,29000,Yes,26,21000,Yes,5500,UPI,Always,299,2,"Others, Educational",Never,Mid-Range,Poco M3 Pro,7,Yes,9500,Bank,Yes,"Others, Fi",No,0,Yes,Yes,Travel,9.0,No,Other,No,Mutual Funds,Yes,51,7
Aadhya Kade,19,Mysuru,Yes,UnderGraduate,Yes,16000,Yes,27,15500,Yes,9000,UPI,Always,299,3,"Educational, Music, Social Media",Never,Flag-Ship,Moto G60,4,Yes,2000,Bank,Yes,Upstox,No,0,No,Yes,Gadget,8.0,Yes,Savings,Yes,"Stocks, PPF",No,46,15
Chakrika Balakrishnan,24,Salem,Yes,PostGraduate,No,0,Yes,18,4500,No,0,,Always,249,0,,Never,Budget,Moto G82,8,Yes,2500,Wallet Apps,Yes,,No,0,Yes,Yes,Vehicles,23.0,Yes,Savings,No,"Mutual Funds, PPF, Fixed Deposits",Yes,23,29
